body_language_class,body_language_prob
up,1.0
up,1.0
up,0.99
up,1.0
down,0.78
down,1.0
down,0.99
down,1.0
up,1.0
up,1.0
up,1.0
up,1.0
down,0.8
down,1.0
down,1.0
down,1.0
up,0.97
up,1.0
up,1.0
up,1.0
up,1.0
down,0.95
down,1.0
down,1.0
down,1.0
up,0.88
up,1.0
up,1.0
up,1.0
up,1.0
down,0.88
down,1.0
down,1.0
down,1.0
up,0.97
up,1.0
up,1.0
up,1.0
up,1.0
down,0.71
down,1.0
down,1.0
down,1.0
down,0.95
up,0.99
up,1.0
up,1.0
up,1.0
up,1.0
down,0.78
down,1.0
down,1.0
down,1.0
down,0.74
up,1.0
up,1.0
up,1.0
up,1.0
up,1.0
down,0.92
down,1.0
down,1.0
down,1.0
down,0.73
up,1.0
up,1.0
up,1.0
up,1.0
up,1.0
down,0.99
down,1.0
down,1.0
down,1.0
up,0.72
up,1.0
up,1.0
up,1.0
up,1.0
down,0.71
down,1.0
down,1.0
down,1.0
down,0.97
up,1.0
up,1.0
up,1.0
up,1.0
up,1.0
down,0.9
down,1.0
down,1.0
down,1.0
down,1.0
up,0.99
up,1.0
up,1.0
up,1.0
up,1.0
down,0.7
down,1.0
down,1.0
down,1.0
down,1.0
up,0.95
up,1.0
up,1.0
up,1.0
up,1.0
up,1.0
down,0.88
down,1.0
down,1.0
down,1.0
up,0.99
up,1.0
up,1.0
up,1.0
up,1.0
down,0.75
down,1.0
down,1.0
down,1.0
down,1.0
down,0.88
down,0.88
down,0.88
